,chemicalFormula,mpID,volume,volumeUnits,formationEnergy,formationEnergyUnits,bandGap,bandGapUnits,density,densityUnits,crystalSystem
38,Lu3Ga5O12,mp-14134,923.0500783213212,$\AA^3$,-3.0045715788749994,eV/atom,2.3544,eV,7.667271254819572,g/cm$^3$,cubic
39,ZnSe,mp-1190,47.337645428691815,$\AA^3$,-0.7117495692968752,eV/atom,1.1693,eV,5.064264209063219,g/cm$^3$,cubic
40,KCrS2,mp-4026,82.73038981200058,$\AA^3$,-0.9320375070312501,eV/atom,1.1611999999999996,eV,3.1156163808076633,g/cm$^3$,trigonal
41,Cs2VF6,mp-554848,353.3267114715885,$\AA^3$,-2.876946430555556,eV/atom,2.0370999999999997,eV,4.0487469489859365,g/cm$^3$,orthorhombic
42,BaAlSiH,mp-571093,85.61510186360121,$\AA^3$,-0.4695150371549994,eV/atom,0.7094,eV,3.7511082259220543,g/cm$^3$,trigonal
43,SrAlSiH,mp-570485,76.91066948977229,$\AA^3$,-0.47253942215499967,eV/atom,0.6337000000000002,eV,3.1024447752244964,g/cm$^3$,trigonal
44,CsNb2BiO7,mp-562854,357.8235546467102,$\AA^3$,-2.6855071307954543,eV/atom,2.4814000000000003,eV,5.937213773167807,g/cm$^3$,orthorhombic
45,Ba3NbFe3(SiO7)2,mp-565953,349.01621566652466,$\AA^3$,-2.886705294673913,eV/atom,2.3971,eV,4.532180351073937,g/cm$^3$,trigonal
46,K2NiF6,mp-605034,139.85678577013167,$\AA^3$,-2.0434756144444446,eV/atom,2.3603,eV,2.978737844605647,g/cm$^3$,cubic
47,CrPbO4,mp-19146,374.7736887707055,$\AA^3$,-1.748224440416666,eV/atom,2.0326000000000004,eV,5.727997817908151,g/cm$^3$,monoclinic
48,AuCl,mp-32780,225.9065646529648,$\AA^3$,-0.5080905428800002,eV/atom,1.8679000000000001,eV,6.833652504422341,g/cm$^3$,tetragonal
49,Na2V3O7,mp-567133,1034.0966452714383,$\AA^3$,-2.433791426145833,eV/atom,2.4928,eV,2.9944699903784775,g/cm$^3$,trigonal
50,GaCuO2,mp-4280,45.40210156776528,$\AA^3$,-1.6863833593749993,eV/atom,0.9824999999999999,eV,6.044513465493127,g/cm$^3$,trigonal
51,Sc2PbSe4,mp-542826,701.6102115462455,$\AA^3$,-1.3647246070535712,eV/atom,1.2338,eV,5.802825236575698,g/cm$^3$,orthorhombic
52,ErAgTe2,mp-12902,236.16325747649378,$\AA^3$,-0.89937088875,eV/atom,0.8967,eV,7.457798184822239,g/cm$^3$,tetragonal
53,Tb3CuGeSe7,mp-567428,569.5539580581149,$\AA^3$,-1.2766803833463538,eV/atom,1.1262000000000003,eV,6.797109865185282,g/cm$^3$,hexagonal
54,YAgTe2,mp-12903,241.0363554970572,$\AA^3$,-0.9279682937500007,eV/atom,0.8989000000000003,eV,6.227446475941785,g/cm$^3$,tetragonal
55,ZnO,mp-2133,49.718723054254085,$\AA^3$,-1.797598968125,eV/atom,0.7317,eV,5.437863581042628,g/cm$^3$,hexagonal
56,TbAgTe2,mp-3551,242.04266648135842,$\AA^3$,-0.9229437129166662,eV/atom,0.9058000000000002,eV,7.162295961176893,g/cm$^3$,tetragonal
57,DyAgTe2,mp-4024,239.85864006273468,$\AA^3$,-0.91679239625,eV/atom,0.9018000000000006,eV,7.2770065861430036,g/cm$^3$,tetragonal
58,ScAgSe2,mp-12908,88.59955344910418,$\AA^3$,-1.0931012142968752,eV/atom,0.6802000000000001,eV,5.823987507386251,g/cm$^3$,trigonal
59,Fe(SbO2)2,mp-510588,468.073305376789,$\AA^3$,-1.77849135,eV/atom,0.5327000000000002,eV,5.156267044539515,g/cm$^3$,tetragonal
60,NaMnO2,mp-18957,45.47031207136676,$\AA^3$,-2.0334207424598274,eV/atom,1.2563999999999997,eV,4.0144308044158015,g/cm$^3$,monoclinic
61,TlCr3O8,mp-565782,199.26504974964539,$\AA^3$,-1.7939478191666656,eV/atom,1.8267,eV,4.069715588072745,g/cm$^3$,monoclinic
62,ZnGeN2,mp-2979,187.9439643154276,$\AA^3$,-0.3812990793149993,eV/atom,1.6965,eV,5.868836054812002,g/cm$^3$,orthorhombic
63,LiCoO2,mp-24850,32.659713686599396,$\AA^3$,-1.782250924375,eV/atom,0.6623000000000001,eV,4.976219910311791,g/cm$^3$,trigonal
64,Sr2NiMoO6,mp-18940,126.75754145650208,$\AA^3$,-2.46847613475,eV/atom,2.3104,eV,5.578945205569156,g/cm$^3$,tetragonal
65,Ca5(SiN3)2,mp-571333,376.5603253123894,$\AA^3$,-1.3264552441753845,eV/atom,2.1605,eV,3.003935949280405,g/cm$^3$,monoclinic
66,Ca7NbSi2N9,mp-567722,545.1625844892585,$\AA^3$,-1.3602443758642102,eV/atom,2.3893999999999997,eV,3.385171340285516,g/cm$^3$,monoclinic
67,Ca4Bi2O,mp-551873,189.47402417216685,$\AA^3$,-1.6143686330357145,eV/atom,0.8137000000000003,eV,5.208165721289705,g/cm$^3$,tetragonal
68,MnBiSe2I,mp-569109,284.05506132925245,$\AA^3$,-0.4044181652133624,eV/atom,0.7160000000000002,eV,6.415720696659575,g/cm$^3$,monoclinic
69,KBaNbS4,mp-16780,843.2191084461606,$\AA^3$,-1.4219569883928571,eV/atom,2.0731,eV,3.131885663845494,g/cm$^3$,orthorhombic
70,Ba(BeN)2,mp-12927,137.15068480308494,$\AA^3$,-1.119592643952,eV/atom,1.1717,eV,4.440143012033008,g/cm$^3$,tetragonal
71,NbTlBr4O,mp-551826,213.236926396789,$\AA^3$,-1.339351888749999,eV/atom,1.2473,eV,4.928618773481086,g/cm$^3$,monoclinic
72,KYTe2,mp-16763,144.87100979775244,$\AA^3$,-1.4110880175000005,eV/atom,1.3029000000000002,eV,4.392358461862494,g/cm$^3$,trigonal
73,Cs(SbSe2)2,mp-3312,479.3717289056911,$\AA^3$,-0.517231534196428,eV/atom,1.1176,eV,4.796001337699897,g/cm$^3$,triclinic
74,Mg(BC)2,mp-3582,385.91696141120906,$\AA^3$,-0.14820996191666608,eV/atom,1.0168999999999997,eV,2.4078141626516802,g/cm$^3$,orthorhombic
75,Rb2PdF6,mp-14088,169.3990157135805,$\AA^3$,-2.109635682222222,eV/atom,2.2614,eV,3.836181064704475,g/cm$^3$,cubic
76,La3CuSnS7,mp-510566,566.9715201682542,$\AA^3$,-1.5471042521614577,eV/atom,1.7763999999999998,eV,4.82328728793099,g/cm$^3$,hexagonal
77,TmAgTe2,mp-12953,114.25921478302736,$\AA^3$,-0.8727280962500004,eV/atom,0.6664000000000003,eV,7.731636433423364,g/cm$^3$,trigonal
